survey_long,file,variable,description,sheet,population,definition
Nutrition & Physical Activity Survey,AHSnpa11bp,PEFRESD1,Percentage of energy from free sugars (WHO) (Day1),Risk factors - Nutrition,All persons,NA
Nutrition & Physical Activity Survey,AHSnpa11bp,PEADDSD1,Percentage of energy from added sugars (FSANZ) (Day1),Risk factors - Nutrition,All persons,NA
Nutrition & Physical Activity Survey,AHSnpa11bp,PEFRESD2,Percentage of energy from free sugars (WHO) (Day 2),Risk factors - Nutrition,All persons who completed second (CATI) nutrition interview,NA
Nutrition & Physical Activity Survey,AHSnpa11bp,PEADDSD2,Percentage of energy from added sugars (FSANZ) (Day2),Risk factors - Nutrition,All persons who completed second (CATI) nutrition interview,NA
Nutrition & Physical Activity Survey,AHSnpa11bp,ABSLFID,Record identifier for the ADGSUM level,Administrative items,All levels,NA
Nutrition & Physical Activity Survey,AHSnpa11bp,ABSBID,Record identifier for the biomedical level,Administrative,NA,NA
Nutrition & Physical Activity Survey,AHSnpa11bp,ABSSID,Supplement record identifier,Administrative items,All levels,NA
Nutrition & Physical Activity Survey,AHSnpa11bp,ABSFID,Food record identifier,Administrative items,All levels,NA
Nutrition & Physical Activity Survey,AHSnpa11bs,LNUMC,Aust L number of supplement,Supplement level,NA,NA
Nutrition & Physical Activity Survey,AHSnpa11bs,DAYNUM,Day Number for Intake,Food level,All persons,NA
Nutrition & Physical Activity Survey,AHSnpa11bs,SUPAMT,Number of supplement units consumed,Supplement level,NA,NA
Nutrition & Physical Activity Survey,AHSnpa11bs,SUPPFORM,Form of supplement,Supplement level,NA,NA
Nutrition & Physical Activity Survey,AHSnpa11bs,SUPUNIT,Supplement unit type,Supplement level,NA,NA
Nutrition & Physical Activity Survey,AHSnpa11bs,SUPPCODC,Type of dietary supplement taken in last 24 hours,Supplement level,NA,NA
Nutrition & Physical Activity Survey,AHSnpa11bs,PROTEIN,Protein g,Food level,All persons,NA
Nutrition & Physical Activity Survey,AHSnpa11bs,FATG,Total fat g,Food level,All persons,NA
Nutrition & Physical Activity Survey,AHSnpa11bs,FIBRE,Dietary fibre g,Food level,All persons,NA
Nutrition & Physical Activity Survey,AHSnpa11bs,PREVITA,Preformed vitamin A (retinol) ug,Food level,All persons,NA
Nutrition & Physical Activity Survey,AHSnpa11bs,PROVITA,Pro-vitamin A (b-carotene equivalents) ug,Food level,All persons,NA
Nutrition & Physical Activity Survey,AHSnpa11bs,RETEQV,Retinol equivalents ug,Food level,All persons,NA
Nutrition & Physical Activity Survey,AHSnpa11bs,B1MG,Thiamin (B1) mg,Food level,All persons,NA
Nutrition & Physical Activity Survey,AHSnpa11bs,B2MG,Riboflavin (B2) mg,Food level,All persons,NA
Nutrition & Physical Activity Survey,AHSnpa11bs,B3MG,Niacin (B3) mg,Food level,All persons,NA
Nutrition & Physical Activity Survey,AHSnpa11bs,NIACINEQ,Niacin equivalents mg,Food level,All persons,NA
Nutrition & Physical Activity Survey,AHSnpa11bs,FOLACID,Folic acid ug,Food level,All persons,NA
Nutrition & Physical Activity Survey,AHSnpa11bs,FOLATEQV,Dietary folate equivalents ug,Food level,All persons,NA
Nutrition & Physical Activity Survey,AHSnpa11bs,B6MG,Vitamin B6 mg,Food level,All persons,NA
Nutrition & Physical Activity Survey,AHSnpa11bs,B12UG,Vitamin B12 ug,Food level,All persons,NA
Nutrition & Physical Activity Survey,AHSnpa11bs,VITCMG,Vitamin C mg,Food level,All persons,NA
Nutrition & Physical Activity Survey,AHSnpa11bs,VITEMG,Vitamin E mg,Food level,All persons,NA
Nutrition & Physical Activity Survey,AHSnpa11bs,CALMG,Calcium mg,Food level,All persons,NA
Nutrition & Physical Activity Survey,AHSnpa11bs,IODINEUG,Iodine ug,Food level,All persons,NA
Nutrition & Physical Activity Survey,AHSnpa11bs,IRONMG,Iron mg,Food level,All persons,NA
Nutrition & Physical Activity Survey,AHSnpa11bs,MAGMG,Magnesium mg,Food level,All persons,NA
Nutrition & Physical Activity Survey,AHSnpa11bs,PHOSMG,Phosphorous mg,Food level,All persons,NA
Nutrition & Physical Activity Survey,AHSnpa11bs,POTASMG,Potassium mg,Food level,All persons,NA
Nutrition & Physical Activity Survey,AHSnpa11bs,SELUG,Selenium ug,Food level,All persons,NA
Nutrition & Physical Activity Survey,AHSnpa11bs,SODMG,Sodium mg,Food level,All persons,NA
Nutrition & Physical Activity Survey,AHSnpa11bs,ZINCMG,Zinc mg,Food level,All persons,NA
Nutrition & Physical Activity Survey,AHSnpa11bs,CAFFMG,Caffeine mg,Food level,All persons,NA
Nutrition & Physical Activity Survey,AHSnpa11bs,CHOLMG,Cholesterol mg,Food level,All persons,NA
Nutrition & Physical Activity Survey,AHSnpa11bs,SFAG,Saturated fat g,Food level,All persons,NA
Nutrition & Physical Activity Survey,AHSnpa11bs,MUFAG,Monounsaturated fat g,Food level,All persons,NA
Nutrition & Physical Activity Survey,AHSnpa11bs,PUFAG,Polyunsaturated fat g,Food level,All persons,NA
Nutrition & Physical Activity Survey,AHSnpa11bs,LAG,Linoleic acid g,Food level,All persons,NA
Nutrition & Physical Activity Survey,AHSnpa11bs,ALAG,Alpha-linolenic acid g,Food level,All persons,NA
Nutrition & Physical Activity Survey,AHSnpa11bs,LCN3MG,Total long chain omega 3 fatty acids mg,Food level,All persons,NA
Nutrition & Physical Activity Survey,AHSnpa11bs,TRANSMG,Trans fatty acids mg,Food level,All persons,NA
Nutrition & Physical Activity Survey,AHSnpa11bs,ABSHID,Household identifier,Administrative items,All levels,NA
Nutrition & Physical Activity Survey,AHSnpa11bs,ABSPID,Selected person identifier,Administrative,NA,NA
Nutrition & Physical Activity Survey,AHSnpa11bs,LEVEL12,Supplement level,Administrative items,Supplement,NA
Nutrition & Physical Activity Survey,AHSnpa11bs,ABSLFID,Record identifier for the ADGSUM level,Administrative items,All levels,NA
Nutrition & Physical Activity Survey,AHSnpa11bs,ABSBID,Record identifier for the biomedical level,Administrative,NA,NA
Nutrition & Physical Activity Survey,AHSnpa11bs,ABSFID,Food record identifier,Administrative items,All levels,NA
Nutrition & Physical Activity Survey,AHSnpa11bs,ABSSID,Supplement record identifier,Administrative items,All levels,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bad,DAYNUM,Day Number for Intake,Food level,All persons,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bad,ADGFOOD,Food group,ADG level,All persons,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bad,ADGINC,ADG food source inclusions,ADG level,All persons,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bad,ADGSRV,Serve amount,ADG level,All persons,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bad,ABSLFID,Record identifier for the ADGSUM level,Administrative items,All levels,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bad,LEVELF,Level identifier for ADG group level,Administrative items,ADG,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bad,ABSGID,Person number,Administrative,NA,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bad,ABSHID,Household identifier,Administrative items,All levels,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bad,ABSBID,Record identifier for the biomedical level (CURF),Administrative,NA,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bad,ABSCID,Record identifier for the conditions level (CURF),Administrative,NA,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bad,ABSFID,Food record identifier,Administrative items,All levels,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bad,ABSSID,Supplement record identifier,Administrative items,All levels,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bad,ABSUID,Record identifier for the adult PA level (CURF),Administrative,NA,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bad,ABSDID,Record identifier for the child 5 to 17 years detailed level (CURF),Administrative,NA,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bad,ABSEID,Record identifier for the pedometer level (CURF),Administrative,NA,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bad,ABSKID,Record identifier for the child 5 to 17 years level (CURF),Administrative,NA,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bad,ABSTID,Record identifier for the child 2 to 4 years level (CURF),Administrative,NA,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bbi,CHOLRESB,Total cholesterol - ranged (mmol/L),Biomedical level,Persons aged 12 years and over who participated in the biomedical component,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bbi,HDLCHREB,HDL cholesterol - ranged (mmol/L),Biomedical level,Persons aged 12 years and over who participated in the biomedical component,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bbi,LDLRESB,Fasting LDL cholesterol - ranged (mmol/L),Biomedical level,Persons aged 12 years and over who participated in the biomedical component and fasted for 8 hours or more,All persons with triglycerides results ≥4.5mmol/L were excluded.
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bbi,TRIGRESB,Fasting triglycerides - ranged (mmol/L),Biomedical level,Persons aged 12 years and over who participated in the biomedical component and fasted for 8 hours or more,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bbi,APOBRESB,Apolipoprotein B - ranged (g/L),Biomedical level,Persons aged 12 years and over who participated in the biomedical component,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bbi,GLUCFREB,Fasting plasma glucose - ranged (mmol/L),Biomedical level,Persons aged 12 years and over who participated in the biomedical component and fasted for 8 hours or more,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bbi,HBA1PREB,HbA1c - ranged (%),Biomedical level,Persons aged 12 years and over who participated in the biomedical component,HbA1c(mmol/mol) is calculated from HbA1c(%) using the following equation: 20 + 11(HbA1c(%) - 4)
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bbi,HBA1MREB,HbA1c - ranged (mmol/mol),Biomedical level,Persons aged 12 years and over who participated in the biomedical component,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bbi,EGFRRESB,eGFR - ranged (mL/min/1.73m2),Biomedical level,Persons aged 18 years and over who participated in the biomedical component,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bbi,ALTRESB,Alanine aminotransferase (ALT) - categories (U/L),Biomedical level,Persons aged 12 years and over who participated in the biomedical component,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bbi,GGTRESB,Gamma glutamyl transferase (GGT) - ranged (U/L),Biomedical level,Persons aged 12 years and over who participated in the biomedical component,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bbi,FOLATREB,Folate - ranged (nmol/L),Biomedical level,Persons aged 12 years and over who participated in the biomedical component,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bbi,B12RESB,Vitamin B12 - ranged (pmol/L),Biomedical level,Persons aged 12 years and over who participated in the biomedical component,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bbi,FERRCRPB,Serum ferritin (excluding elevated CRP) - ranged (¬µg/L),Biomedical level,Persons aged 12 years and over who participated in biomeds and had a CRP result =< 10,Results are excluded if CRP is elevated (not applicable)
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bbi,SOLTRREB,Soluble transferrin receptor (sTfR) - ranged (mg/L),Biomedical level,Persons aged 12 years and over who participated in the biomedical component,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bbi,VDLCMREB,Vitamin D (LCMS) - detailed ranged (nmol/L),Biomedical level,Persons aged 12 years and over who participated in the biomedical component,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bbi,ABSGID,Person number,Administrative,NA,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bbi,ABSCID,Record identifier for the conditions level (CURF),Administrative,NA,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bbi,ABSUID,Record identifier for the adult PA level (CURF),Administrative,NA,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bbi,ABSBID,Record identifier for the biomedical level (CURF),Administrative,NA,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bbi,ABSSID,Supplement record identifier,Administrative items,All levels,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bbi,ABSFID,Food record identifier,Administrative items,All levels,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bbi,ABSTID,Record identifier for the child 2 to 4 years level (CURF),Administrative,NA,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bbi,ABSKID,Record identifier for the child 5 to 17 years level (CURF),Administrative,NA,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bbi,ABSEID,Record identifier for the pedometer level (CURF),Administrative,NA,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bbi,ABSDID,Record identifier for the child 5 to 17 years detailed level (CURF),Administrative,NA,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bbi,ABRSKRGC,Absolute Risk (Risk of CVD event in next 5 years) ranged item,Biomedical level,Persons aged 18 years and over who have participated in the biomedical component,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bbi,BIORESPC,Biomedical response status,Biomedical level,Selected persons aged 5 years and over,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bbi,DIABFPGE,Diabetes prevalence - fasting blood glucose (mmol/L),Biomedical level,Persons aged 12 years and over who participated in the biomedical component and fasted for 8 hours or more,Please refer to the glossary for the definition of known diabetes.
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bbi,DIABPRVE,Biomed diabetes prevalence - HbA1c (%),Biomedical level,Persons aged 12 years and over who participated in the biomedical component,Please refer to the glossary for the definition of known diabetes.
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bbi,ABRSKFLG,Absolute Risk Incomplete Data Flag,Biomedical level,Persons aged 18 years and over who have participated in the biomedical component,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bbi,RPWT001,"Replicate Weights, ISS",NA,NA,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bbi,RPWT002,"Replicate Weights, ISS",NA,NA,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bbi,RPWT003,"Replicate Weights, ISS",NA,NA,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bbi,RPWT004,"Replicate Weights, ISS",NA,NA,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bbi,RPWT005,"Replicate Weights, ISS",NA,NA,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bbi,RPWT006,"Replicate Weights, ISS",NA,NA,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bbi,RPWT007,"Replicate Weights, ISS",NA,NA,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bbi,RPWT008,"Replicate Weights, ISS",NA,NA,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bbi,RPWT009,"Replicate Weights, ISS",NA,NA,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bbi,RPWT010,"Replicate Weights, ISS",NA,NA,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bbi,RPWT011,"Replicate Weights, ISS",NA,NA,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bbi,RPWT012,"Replicate Weights, ISS",NA,NA,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bbi,RPWT013,"Replicate Weights, ISS",NA,NA,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bbi,RPWT014,"Replicate Weights, ISS",NA,NA,NA
